Order Date,Ship Date,Ship Mode,Segment,State,Sub-Category,Discount,Sales,Quantity,Profit,iforest_score
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Art,0.2,15.76,2,3.546,0.35406703475820256
2017-10-19,2017-10-23,Second Class,Home Office,Texas,Paper,0.2,29.472,3,9.9468,0.35019181582656495
2016-12-08,2016-12-10,First Class,Corporate,Texas,Phones,0.2,1097.544,7,123.4737,0.5245117652964082
2016-12-08,2016-12-10,First Class,Corporate,Texas,Furnishings,0.6,190.92,5,-147.963,0.49213607954574834
2015-12-27,2015-12-31,Standard Class,Home Office,Texas,Envelopes,0.2,113.328,9,35.415,0.48452168877107227
2015-12-27,2015-12-31,Standard Class,Home Office,Texas,Bookcases,0.32,532.3992,3,-46.9764,0.4328333621324044
2015-12-27,2015-12-31,Standard Class,Home Office,Texas,Chairs,0.3,212.058,3,-15.147,0.3894687084548215
2015-12-27,2015-12-31,Standard Class,Home Office,Texas,Phones,0.2,371.168,4,41.7564,0.4187442809971092
2017-09-10,2017-09-15,Standard Class,Corporate,Illinois,Phones,0.2,147.168,4,16.5564,0.38280428897560836
2016-07-17,2016-07-22,Standard Class,Corporate,California,Storage,0.0,77.88,2,3.894,0.3651161388303759
2017-09-19,2017-09-23,Standard Class,Corporate,Florida,Storage,0.2,95.616,2,9.5616,0.36685718050256133
2016-03-11,2016-03-13,First Class,Corporate,Minnesota,Accessories,0.0,45.98,2,19.7714,0.36481904413763394
2016-03-11,2016-03-13,First Class,Corporate,Minnesota,Binders,0.0,17.46,2,8.2062,0.3554407753903046
2014-10-20,2014-10-25,Second Class,Consumer,Michigan,Storage,0.0,211.96,4,8.4784,0.38848500663426144
2016-06-20,2016-06-25,Standard Class,Consumer,Delaware,Accessories,0.0,45.0,3,4.95,0.34817603109599726
2016-06-20,2016-06-25,Standard Class,Consumer,Delaware,Phones,0.0,21.8,2,6.104,0.35420754131555976
2015-04-18,2015-04-22,Standard Class,Consumer,Indiana,Binders,0.0,38.22,6,17.9634,0.4000668149485047
2015-04-18,2015-04-22,Standard Class,Consumer,Indiana,Labels,0.0,75.18,6,35.3346,0.41340215151696424
2015-04-18,2015-04-22,Standard Class,Consumer,Indiana,Furnishings,0.0,6.16,2,2.9568,0.3510250343749708
2015-04-18,2015-04-22,Standard Class,Consumer,Indiana,Chairs,0.0,89.99,1,17.0981,0.43583791398758176
2016-12-11,2016-12-17,Standard Class,Corporate,New York,Fasteners,0.0,15.26,7,6.2566,0.4165683723410126
2016-12-11,2016-12-17,Standard Class,Corporate,New York,Phones,0.0,1029.95,5,298.6855,0.5418973896508322
2016-06-17,2016-06-18,First Class,Consumer,New York,Storage,0.0,208.56,6,52.14,0.4422166582199541
2016-06-17,2016-06-18,First Class,Consumer,New York,Paper,0.0,32.4,5,15.552,0.37099331290454063
2016-06-17,2016-06-18,First Class,Consumer,New York,Chairs,0.1,319.41,5,7.098,0.409827797574825
2016-06-17,2016-06-18,First Class,Consumer,New York,Paper,0.0,14.56,2,6.9888,0.3568607265448205
2016-06-17,2016-06-18,First Class,Consumer,New York,Accessories,0.0,30.0,2,3.3,0.357181367052589
2016-06-17,2016-06-18,First Class,Consumer,New York,Binders,0.2,48.48,4,16.362,0.3638639530194679
2016-06-17,2016-06-18,First Class,Consumer,New York,Art,0.0,1.68,1,0.84,0.4141135168171415
2015-11-24,2015-11-30,Standard Class,Consumer,California,Accessories,0.0,13.98,2,6.1512,0.3545066008667506
2015-11-24,2015-11-30,Standard Class,Consumer,California,Binders,0.2,25.824,6,9.3612,0.3973554833776964
2015-11-24,2015-11-30,Standard Class,Consumer,California,Paper,0.0,146.73,3,68.9631,0.40436708311702646
2015-11-24,2015-11-30,Standard Class,Consumer,California,Furnishings,0.0,79.76,4,22.3328,0.37223558804250356
2015-04-30,2015-05-05,Standard Class,Home Office,Illinois,Chairs,0.3,213.115,5,-15.2225,0.40795200858119984
2014-12-05,2014-12-10,Standard Class,Corporate,Arizona,Art,0.2,1113.024,8,111.3024,0.5506543846143602
2014-12-05,2014-12-10,Standard Class,Corporate,Arizona,Phones,0.2,167.968,4,62.988,0.40061055210452373
2016-06-04,2016-06-06,First Class,Consumer,Virginia,Paper,0.0,75.88,2,35.6636,0.3894621383628958
2016-09-18,2016-09-23,Standard Class,Consumer,New York,Binders,0.2,4.616,1,1.731,0.4022905250547784
2017-09-14,2017-09-17,Second Class,Consumer,Michigan,Paper,0.0,19.05,3,8.763,0.3484084621086009
2015-04-26,2015-05-02,Standard Class,Consumer,Tennessee,Chairs,0.2,831.936,8,-114.3912,0.560105057536722
2015-04-26,2015-05-02,Standard Class,Consumer,Tennessee,Furnishings,0.2,97.04,2,1.213,0.36680675097861604
2015-04-26,2015-05-02,Standard Class,Consumer,Tennessee,Storage,0.2,72.784,1,-18.196,0.4532673207515617
2017-12-09,2017-12-11,First Class,Corporate,Texas,Binders,0.8,1.248,3,-1.9344,0.36313398304584366
2017-12-09,2017-12-11,First Class,Corporate,Texas,Furnishings,0.6,9.708,3,-5.8248,0.36262403302295565
2017-12-09,2017-12-11,First Class,Corporate,Texas,Storage,0.2,27.24,3,2.724,0.348476940509609
2014-11-26,2014-12-01,Second Class,Consumer,Texas,Furnishings,0.6,19.3,5,-14.475,0.40501261279924433
2016-06-12,2016-06-15,First Class,Corporate,Alabama,Appliances,0.0,208.16,1,56.2032,0.5002905461386755
2016-06-12,2016-06-15,First Class,Corporate,Alabama,Binders,0.0,16.74,3,8.0352,0.3511904105016239
2014-10-12,2014-10-16,Standard Class,Consumer,California,Art,0.0,14.9,5,4.172,0.3727882562654961
2014-10-12,2014-10-16,Standard Class,Consumer,California,Storage,0.0,21.39,1,6.2031,0.4117489323743503
2015-09-03,2015-09-08,Standard Class,Corporate,North Carolina,Envelopes,0.2,200.984,7,62.8075,0.4504326074815723
2017-11-13,2017-11-16,First Class,Home Office,Illinois,Storage,0.2,230.376,3,-48.9549,0.41380986476308396
2017-05-28,2017-05-30,Second Class,Consumer,South Carolina,Chairs,0.0,301.96,2,33.2156,0.428784625173023
2017-10-26,2017-11-02,Standard Class,Consumer,Minnesota,Accessories,0.0,19.99,1,6.7966,0.41199730140058843
2017-10-26,2017-11-02,Standard Class,Consumer,Minnesota,Labels,0.0,6.16,2,2.9568,0.3510250343749708
2016-04-05,2016-04-10,Second Class,Home Office,Texas,Storage,0.2,158.368,7,13.8572,0.4277688692390813
2016-09-17,2016-09-22,Standard Class,Corporate,California,Art,0.0,20.1,3,6.633,0.34791800249613036
2016-09-17,2016-09-22,Standard Class,Corporate,California,Phones,0.2,73.584,2,8.2782,0.3627141132776851
2016-09-17,2016-09-22,Standard Class,Corporate,California,Paper,0.0,6.48,1,3.1104,0.3967155693496458
2015-01-31,2015-02-05,Second Class,Consumer,Minnesota,Paper,0.0,12.96,2,6.2208,0.3538893865019248
2015-01-31,2015-02-05,Second Class,Consumer,Minnesota,Furnishings,0.0,53.34,3,16.5354,0.35608485769313886
2015-01-31,2015-02-05,Second Class,Consumer,Minnesota,Binders,0.0,32.96,2,16.1504,0.36485863344463654
2017-11-06,2017-11-12,Standard Class,Home Office,Oregon,Binders,0.7,5.682,1,-3.788,0.4155516011809542
2017-11-09,2017-11-11,Second Class,Home Office,New York,Furnishings,0.0,96.53,7,40.5426,0.42208789844412375
2017-06-17,2017-06-20,First Class,Consumer,California,Binders,0.2,51.312,3,17.9592,0.3543951591032949
2016-09-06,2016-09-11,Standard Class,Corporate,Minnesota,Appliances,0.0,77.88,6,22.5852,0.4101905975224766
2016-08-29,2016-09-02,Standard Class,Home Office,Illinois,Paper,0.2,64.624,7,22.6184,0.41014141550058564
2016-08-29,2016-09-02,Standard Class,Home Office,Illinois,Accessories,0.2,95.976,3,-10.7973,0.37203646231131016
2016-08-29,2016-09-02,Standard Class,Home Office,Illinois,Binders,0.8,1.788,3,-3.0396,0.3661183758132659
2016-12-01,2016-12-04,Second Class,Consumer,Minnesota,Paper,0.0,23.92,4,11.7208,0.36247346153275356
2015-11-13,2015-11-17,Standard Class,Consumer,Colorado,Accessories,0.2,238.896,6,-26.8758,0.444944970281818
2015-11-13,2015-11-17,Standard Class,Consumer,Colorado,Furnishings,0.2,102.36,3,-3.8385,0.3669919531905089
2015-11-13,2015-11-17,Standard Class,Consumer,Colorado,Binders,0.7,36.882,3,-25.8174,0.38724516705984774
2017-11-23,2017-11-28,Standard Class,Consumer,North Carolina,Accessories,0.2,74.112,8,17.6016,0.44840761370388665
2017-11-23,2017-11-28,Standard Class,Consumer,North Carolina,Phones,0.2,27.992,1,2.0994,0.40479767409072154
2017-11-23,2017-11-28,Standard Class,Consumer,North Carolina,Art,0.2,3.304,1,1.0738,0.4057533209523694
2015-10-15,2015-10-20,Standard Class,Home Office,Illinois,Accessories,0.2,339.96,5,67.992,0.41652286427854524
2017-12-25,2017-12-30,Standard Class,Corporate,New York,Furnishings,0.0,41.96,2,10.9096,0.3590941820595711
2016-11-03,2016-11-10,Standard Class,Consumer,Iowa,Art,0.0,75.96,2,22.788,0.37529882694054273
2016-11-03,2016-11-10,Standard Class,Consumer,Iowa,Binders,0.0,27.24,6,13.3476,0.3972702095044124
2014-08-25,2014-08-27,Second Class,Consumer,Ohio,Fasteners,0.2,40.096,14,14.5348,0.6713411789450245
2014-08-25,2014-08-27,Second Class,Consumer,Ohio,Envelopes,0.2,4.72,2,1.652,0.35661865420393457
2014-08-25,2014-08-27,Second Class,Consumer,Ohio,Paper,0.2,23.976,3,7.4925,0.3481782451988462
2014-08-25,2014-08-27,Second Class,Consumer,Ohio,Envelopes,0.2,130.464,6,44.0316,0.43076474195834746
2015-03-02,2015-03-06,Standard Class,Consumer,Washington,Tables,0.0,787.53,3,165.3813,0.4879209393213478
2015-04-05,2015-04-10,Standard Class,Corporate,Tennessee,Binders,0.7,157.794,1,-115.7156,0.5375189186454303
2016-06-12,2016-06-15,First Class,Consumer,Delaware,Furnishings,0.0,47.04,3,18.3456,0.351502237455698
2016-06-12,2016-06-15,First Class,Consumer,Delaware,Binders,0.0,30.84,4,13.878,0.364907435858424
2016-06-12,2016-06-15,First Class,Consumer,Delaware,Storage,0.0,226.56,6,63.4368,0.444068211169186
2016-06-12,2016-06-15,First Class,Consumer,Delaware,Envelopes,0.0,115.02,9,51.759,0.4953905007279206
2016-06-12,2016-06-15,First Class,Consumer,Delaware,Phones,0.0,68.04,7,19.7316,0.4110283882154445
2014-12-26,2014-12-28,Second Class,Home Office,Texas,Chairs,0.3,600.558,3,-8.5794,0.42788586265151873
2014-09-20,2014-09-25,Standard Class,Consumer,Illinois,Tables,0.5,617.7,6,-407.682,0.5815831738383198
2017-11-05,2017-11-12,Standard Class,Consumer,Arizona,Binders,0.7,2.388,2,-1.8308,0.3662773019489244
2017-11-05,2017-11-12,Standard Class,Consumer,Arizona,Storage,0.2,243.992,7,30.499,0.4420330741945514
2016-11-06,2016-11-10,Second Class,Home Office,California,Chairs,0.2,81.424,2,-9.1602,0.37464899010975644
2016-11-06,2016-11-10,Second Class,Home Office,California,Furnishings,0.0,238.56,3,26.2416,0.3814475176414477
2017-02-02,2017-02-05,First Class,Corporate,Ohio,Phones,0.4,59.97,5,-11.994,0.39111194204629335
2017-02-02,2017-02-05,First Class,Corporate,Ohio,Paper,0.2,78.304,2,29.364,0.38341141295650083
2017-02-02,2017-02-05,First Class,Corporate,Ohio,Fasteners,0.2,21.456,9,6.9732,0.47033292857575965
2016-10-13,2016-10-19,Standard Class,Consumer,California,Paper,0.0,20.04,3,9.6192,0.34946206057671014
2016-10-13,2016-10-19,Standard Class,Consumer,California,Paper,0.0,35.44,1,16.6568,0.4349655623039704
2016-10-13,2016-10-19,Standard Class,Consumer,California,Art,0.0,11.52,4,3.456,0.36164724516442026
2016-10-13,2016-10-19,Standard Class,Consumer,California,Fasteners,0.0,4.02,2,1.9698,0.35713798602247304
2016-10-13,2016-10-19,Standard Class,Consumer,California,Binders,0.2,76.176,3,26.6616,0.3646788706251119
2016-10-13,2016-10-19,Standard Class,Consumer,California,Supplies,0.0,65.88,6,18.4464,0.3999567610372255
2016-10-13,2016-10-19,Standard Class,Consumer,California,Furnishings,0.0,43.12,14,20.6976,0.6749241400990146
2016-09-05,2016-09-07,Second Class,Corporate,Pennsylvania,Furnishings,0.2,82.8,2,10.35,0.3616045850919719
2017-09-18,2017-09-23,Standard Class,Corporate,California,Art,0.0,8.82,3,2.3814,0.3477269853970007
2017-09-18,2017-09-23,Standard Class,Corporate,California,Envelopes,0.0,10.86,3,5.1042,0.34868850593880013
2017-09-18,2017-09-23,Standard Class,Corporate,California,Paper,0.0,143.7,3,68.976,0.4018101591896213
2017-12-22,2017-12-27,Standard Class,Consumer,Missouri,Appliances,0.0,839.43,3,218.2518,0.516562499091101
2015-09-07,2015-09-12,Standard Class,Consumer,California,Storage,0.0,671.93,7,20.1579,0.48503148860314627
2014-10-22,2014-10-28,Standard Class,Home Office,Ohio,Furnishings,0.2,93.888,4,12.9096,0.369046260399676
2016-12-05,2016-12-09,Standard Class,Corporate,Wisconsin,Phones,0.0,384.45,11,103.8015,0.6276220404948574
2016-12-05,2016-12-09,Standard Class,Corporate,Wisconsin,Phones,0.0,149.97,3,5.9988,0.3740011160912055
2016-12-05,2016-12-09,Standard Class,Corporate,Wisconsin,Chairs,0.0,1951.84,8,585.552,0.6803883406955021
2016-12-05,2016-12-09,Standard Class,Corporate,Wisconsin,Binders,0.0,171.55,5,80.6285,0.4213067294300708
2016-03-13,2016-03-16,First Class,Home Office,Arizona,Appliances,0.2,157.92,5,17.766,0.39474433067999926
2016-03-13,2016-03-16,First Class,Home Office,Arizona,Phones,0.2,203.184,2,15.2388,0.39930405681042025
2015-05-31,2015-06-02,First Class,Corporate,California,Paper,0.0,58.38,7,26.271,0.4122952410422714
2015-05-31,2015-06-02,First Class,Corporate,California,Paper,0.0,105.52,4,48.5392,0.3930265529395096
2015-05-31,2015-06-02,First Class,Corporate,California,Storage,0.0,80.88,6,21.0288,0.408190585734705
2015-05-28,2015-06-03,Standard Class,Home Office,Washington,Art,0.0,6.63,3,1.7901,0.34853198380245803
2014-03-01,2014-03-06,Second Class,Consumer,Washington,Chairs,0.2,457.568,2,51.4764,0.44510681599839197
2016-11-20,2016-11-24,Standard Class,Consumer,Oklahoma,Labels,0.0,14.62,2,6.8714,0.3568607265448205
2016-11-20,2016-11-24,Standard Class,Consumer,Oklahoma,Phones,0.0,944.93,7,236.2325,0.5433066911081912
2016-05-11,2016-05-12,First Class,Consumer,California,Paper,0.0,5.98,1,2.691,0.39823501248027576
2015-12-28,2015-12-31,Second Class,Consumer,Pennsylvania,Accessories,0.2,54.384,2,1.3596,0.35857331283450183
2016-11-16,2016-11-20,Standard Class,Consumer,New Mexico,Envelopes,0.0,28.4,5,13.348,0.37121895576361486
2016-11-07,2016-11-11,Standard Class,Consumer,Washington,Binders,0.2,27.68,2,9.688,0.3574165786421805
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Art,0.2,9.936,3,2.7324,0.3486970412593338
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Machines,0.4,8159.952,8,-1359.992,0.7935076071973711
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Storage,0.2,275.928,3,-58.6347,0.43350943489803284
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Chairs,0.3,1740.06,9,-24.858,0.6372436929511561
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Art,0.2,32.064,6,6.8136,0.39924226571753657
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Appliances,0.8,177.98,5,-453.849,0.5617912805032861
2014-09-08,2014-09-12,Standard Class,Consumer,Texas,Phones,0.2,143.976,3,8.9985,0.37051487882963646
2014-08-05,2014-08-09,Standard Class,Consumer,California,Paper,0.0,20.94,3,9.8418,0.34945510484682185
2014-08-05,2014-08-09,Standard Class,Consumer,California,Paper,0.0,110.96,2,53.2608,0.41299401303457156
2014-08-05,2014-08-09,Standard Class,Consumer,California,Chairs,0.2,340.144,7,21.259,0.4501681990994685
2014-09-14,2014-09-19,Standard Class,Corporate,Illinois,Appliances,0.8,52.448,2,-131.12,0.47599109575822734
2014-09-14,2014-09-19,Standard Class,Corporate,Illinois,Labels,0.2,20.16,4,6.552,0.3621596381146109
2017-04-21,2017-04-25,Second Class,Consumer,Texas,Appliances,0.8,97.264,4,-243.16,0.5290619690016743
2015-11-21,2015-11-23,Second Class,Consumer,Ohio,Chairs,0.3,396.802,7,-11.3372,0.4682754163104666
2015-11-21,2015-11-23,Second Class,Consumer,Ohio,Supplies,0.2,15.88,5,-3.7715,0.3845336191032266
2015-12-15,2015-12-19,Standard Class,Home Office,New York,Art,0.0,3.28,1,1.4104,0.405954332341488
2014-12-05,2014-12-09,Second Class,Corporate,Illinois,Storage,0.2,24.816,2,1.8612,0.3559141329620696
2014-12-05,2014-12-09,Second Class,Corporate,Illinois,Accessories,0.2,408.744,7,76.6395,0.4636975933477219
2014-11-19,2014-11-24,Second Class,Home Office,Louisiana,Phones,0.0,503.96,4,131.0296,0.44540120469630623
2014-11-19,2014-11-24,Second Class,Home Office,Louisiana,Phones,0.0,149.95,5,41.986,0.4016161342233637
2014-11-19,2014-11-24,Second Class,Home Office,Louisiana,Accessories,0.0,29.0,2,7.25,0.3563701386324133
2016-11-28,2016-12-02,Standard Class,Consumer,Connecticut,Binders,0.0,7.16,2,3.4368,0.3513735247195241
2014-08-26,2014-08-30,Standard Class,Home Office,California,Accessories,0.0,176.8,8,22.984,0.4705038149222095
2016-07-16,2016-07-22,Standard Class,Corporate,Texas,Storage,0.2,37.224,3,3.7224,0.35185952762495554
2016-07-16,2016-07-22,Standard Class,Corporate,Texas,Paper,0.2,20.016,3,6.255,0.34791800249613036
2015-10-12,2015-10-14,First Class,Home Office,New York,Bookcases,0.2,899.136,4,112.392,0.4942541523334439
2015-10-12,2015-10-14,First Class,Home Office,New York,Phones,0.0,71.76,6,20.0928,0.4033020211290619
2015-10-12,2015-10-14,First Class,Home Office,New York,Paper,0.0,51.84,8,24.8832,0.443170116943679
2015-10-12,2015-10-14,First Class,Home Office,New York,Bookcases,0.2,626.352,3,46.9764,0.43768583129000294
2015-10-12,2015-10-14,First Class,Home Office,New York,Art,0.0,19.9,5,6.567,0.37004438591036914
2015-10-31,2015-11-06,Standard Class,Corporate,California,Envelopes,0.0,14.28,7,6.7116,0.4169626199231857
2014-03-21,2014-03-25,Standard Class,Consumer,Ohio,Art,0.2,7.408,2,1.2038,0.35057693818411323
2014-03-21,2014-03-25,Standard Class,Consumer,Ohio,Art,0.2,6.048,3,1.5876,0.3503347445815737
2017-11-06,2017-11-13,Standard Class,Home Office,New Jersey,Storage,0.0,46.26,3,12.0276,0.3507709195619203
2017-07-06,2017-07-13,Standard Class,Corporate,Pennsylvania,Binders,0.7,2.946,2,-2.2586,0.36590687132234423
2017-07-06,2017-07-13,Standard Class,Corporate,Pennsylvania,Paper,0.2,16.056,3,5.8203,0.34863606996689633
2017-06-24,2017-06-29,Standard Class,Consumer,Ohio,Paper,0.2,21.744,3,6.795,0.34826268556492435
2014-08-03,2014-08-05,First Class,Consumer,Colorado,Tables,0.5,218.75,2,-161.875,0.5038966700217765
2014-08-03,2014-08-05,First Class,Consumer,Colorado,Appliances,0.2,2.6,1,0.2925,0.41444587128148613
2017-12-17,2017-12-21,Second Class,Consumer,Texas,Appliances,0.8,66.284,2,-178.9668,0.48929880256156527
2017-06-03,2017-06-07,Standard Class,Corporate,Tennessee,Furnishings,0.2,35.168,7,9.6712,0.4129980246175074
2017-12-09,2017-12-14,Standard Class,Consumer,California,Phones,0.2,444.768,4,44.4768,0.42223090032310445
2017-12-01,2017-12-07,Standard Class,Consumer,Michigan,Storage,0.0,83.92,4,5.8744,0.3672337251328419
2017-12-01,2017-12-07,Standard Class,Consumer,Michigan,Phones,0.0,131.98,2,35.6346,0.391617723092053
2017-12-01,2017-12-07,Standard Class,Consumer,Michigan,Binders,0.0,15.92,4,7.4824,0.3653065273577596
2017-12-01,2017-12-07,Standard Class,Consumer,Michigan,Fasteners,0.0,52.29,9,16.2099,0.4657430868376644
2017-12-01,2017-12-07,Standard Class,Consumer,Michigan,Storage,0.0,91.99,1,3.6796,0.4234501952383819
2015-02-09,2015-02-13,Second Class,Corporate,Texas,Accessories,0.2,20.8,2,6.5,0.3531665683036095
2015-01-02,2015-01-09,Standard Class,Corporate,Ohio,Labels,0.2,23.68,2,8.88,0.3567900162632089
2015-01-02,2015-01-09,Standard Class,Corporate,Ohio,Bookcases,0.5,452.45,5,-244.323,0.5215534580349684
2015-01-02,2015-01-09,Standard Class,Corporate,Ohio,Phones,0.4,62.982,3,-14.6958,0.3708866875277411
2015-01-02,2015-01-09,Standard Class,Corporate,Ohio,Machines,0.7,1188.0,9,-950.4,0.6972458495161935
2015-01-02,2015-01-09,Standard Class,Corporate,Ohio,Accessories,0.2,89.584,2,4.4792,0.36229498646220504
2016-10-28,2016-11-01,Standard Class,Consumer,California,Storage,0.0,93.06,6,26.0568,0.40960775339855926
2016-10-28,2016-11-01,Standard Class,Consumer,California,Phones,0.2,302.376,3,22.6782,0.3962821785493324
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Fasteners,0.2,5.584,2,1.8148,0.3527475648097214
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Paper,0.2,22.704,6,8.2302,0.39807154131096856
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Binders,0.7,19.776,4,-13.8432,0.38957802882078124
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Furnishings,0.2,72.704,4,19.0848,0.36760863612012085
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Machines,0.7,479.988,4,-383.9904,0.5587593077516289
2015-12-24,2015-12-27,First Class,Consumer,Ohio,Art,0.2,27.168,2,2.7168,0.35587734926112624
2015-08-09,2015-08-16,Standard Class,Corporate,Michigan,Art,0.0,2.2,1,0.968,0.41312410151246715
2015-08-09,2015-08-16,Standard Class,Corporate,Michigan,Tables,0.0,622.45,5,136.939,0.46054488788929443
2015-08-09,2015-08-16,Standard Class,Corporate,Michigan,Storage,0.0,21.98,1,0.2198,0.40771726784980145
2015-02-28,2015-03-04,Standard Class,Consumer,Tennessee,Chairs,0.2,161.568,2,-28.2744,0.41455382177179895
2015-02-28,2015-03-04,Standard Class,Consumer,Tennessee,Chairs,0.2,389.696,8,43.8408,0.4886849163021679
2014-09-13,2014-09-17,Standard Class,Corporate,North Carolina,Binders,0.7,18.648,7,-12.432,0.4422251451780177
2017-04-07,2017-04-12,Standard Class,Home Office,Florida,Tables,0.45,233.86,2,-102.048,0.4651132771708238
2017-04-07,2017-04-12,Standard Class,Home Office,Florida,Tables,0.45,620.6145,3,-248.2458,0.5357437272209227
2017-04-07,2017-04-12,Standard Class,Home Office,Florida,Binders,0.7,5.328,2,-3.552,0.3598756938614089
2017-04-07,2017-04-12,Standard Class,Home Office,Florida,Furnishings,0.2,258.072,3,0.0,0.3877543131268506
2017-04-07,2017-04-12,Standard Class,Home Office,Florida,Accessories,0.2,617.976,3,-7.7247,0.4281754623291434
2017-11-12,2017-11-16,Standard Class,Corporate,California,Paper,0.0,10.56,2,4.752,0.3530476529792331
2016-06-04,2016-06-09,Second Class,Consumer,Illinois,Paper,0.2,25.92,5,9.396,0.36961111465377805
2016-06-04,2016-06-09,Second Class,Consumer,Illinois,Furnishings,0.6,419.68,5,-356.728,0.5463960338282652
2016-06-04,2016-06-09,Second Class,Consumer,Illinois,Furnishings,0.6,11.688,3,-4.6752,0.3579709632177757
2016-06-04,2016-06-09,Second Class,Consumer,Illinois,Phones,0.2,31.984,2,11.1944,0.35914545877738524
2016-06-04,2016-06-09,Second Class,Consumer,Illinois,Tables,0.5,177.225,5,-120.513,0.47584270069595985
